Running imagenet_impl.py
********HW03 06: ImageNet Classification********
Begin our training!!!!!!!!!!!!!!
cuda available: True
Using device: cuda:7
Loading dataset!!!!!!!!
Original dataset size:
Training samples: 1281167
Validation samples: 50000
Number of classes: 1000
Selected dataset size:
Training samples: 6405
Validation samples: 100
Applying dataset transforms!!!!!!!!
Creating data loaders!!!!!!!!
Initializing ImageNetCNN!!!!!!!!
Trainable parameters: 5464040
Setting optimizer!!!!!!!!
Initializing trainer!!!!!!!!
Start training!!!!!!!!
Epoch 17, Batch 30/51, Loss: 5.7562, Training Accuracy: 0.0156
Epoch 17, Batch 40/51, Loss: 5.9147, Training Accuracy: 0.0391
Epoch 17, Batch 50/51, Loss: 5.6650, Training Accuracy: 0.2000
Epoch 17/1000, Train Loss: 5.7816, Train Accuracy: 0.0233, Validation Accuracy: 0.0000
Epoch 18, Batch 0/51, Loss: 5.6291, Training Accuracy: 0.0234
Epoch 18, Batch 10/51, Loss: 5.7834, Training Accuracy: 0.0156
Epoch 18, Batch 20/51, Loss: 5.6590, Training Accuracy: 0.0312
Epoch 18, Batch 30/51, Loss: 5.7786, Training Accuracy: 0.0234
Epoch 18, Batch 40/51, Loss: 5.6919, Training Accuracy: 0.0312
Epoch 18, Batch 50/51, Loss: 5.5914, Training Accuracy: 0.0000
Epoch 18/1000, Train Loss: 5.7137, Train Accuracy: 0.0304, Validation Accuracy: 0.0000
Epoch 19, Batch 0/51, Loss: 5.5488, Training Accuracy: 0.0391
Epoch 19, Batch 10/51, Loss: 5.6812, Training Accuracy: 0.0547
Epoch 19, Batch 20/51, Loss: 5.6441, Training Accuracy: 0.0234
Epoch 19, Batch 30/51, Loss: 5.5194, Training Accuracy: 0.0469
Epoch 19, Batch 40/51, Loss: 5.7001, Training Accuracy: 0.0234
Epoch 19, Batch 50/51, Loss: 6.0625, Training Accuracy: 0.0000
Epoch 19/1000, Train Loss: 5.6757, Train Accuracy: 0.0306, Validation Accuracy: 0.0100
Epoch 20, Batch 0/51, Loss: 5.4633, Training Accuracy: 0.0391
Epoch 20, Batch 10/51, Loss: 5.5925, Training Accuracy: 0.0156
Epoch 20, Batch 20/51, Loss: 5.3942, Training Accuracy: 0.0703
Epoch 20, Batch 30/51, Loss: 5.6573, Training Accuracy: 0.0391
Epoch 20, Batch 40/51, Loss: 5.7113, Training Accuracy: 0.0312
Epoch 20, Batch 50/51, Loss: 6.6034, Training Accuracy: 0.0000
Epoch 20/1000, Train Loss: 5.6023, Train Accuracy: 0.0347, Validation Accuracy: 0.0100
Epoch 21, Batch 0/51, Loss: 5.3300, Training Accuracy: 0.0391
Epoch 21, Batch 10/51, Loss: 5.5304, Training Accuracy: 0.0234
Epoch 21, Batch 20/51, Loss: 5.4783, Training Accuracy: 0.0469
Epoch 21, Batch 30/51, Loss: 5.6278, Training Accuracy: 0.0391
Epoch 21, Batch 40/51, Loss: 5.5657, Training Accuracy: 0.0391
Epoch 21, Batch 50/51, Loss: 5.7158, Training Accuracy: 0.0000
Epoch 21/1000, Train Loss: 5.5841, Train Accuracy: 0.0334, Validation Accuracy: 0.0000
Epoch 22, Batch 0/51, Loss: 5.3700, Training Accuracy: 0.0625
Epoch 22, Batch 10/51, Loss: 5.5637, Training Accuracy: 0.0156
Epoch 22, Batch 20/51, Loss: 5.4977, Training Accuracy: 0.0547
Epoch 22, Batch 30/51, Loss: 5.5447, Training Accuracy: 0.0391
Epoch 22, Batch 40/51, Loss: 5.6357, Training Accuracy: 0.0312
Epoch 22, Batch 50/51, Loss: 5.1838, Training Accuracy: 0.0000
Epoch 22/1000, Train Loss: 5.5107, Train Accuracy: 0.0328, Validation Accuracy: 0.0000
Epoch 23, Batch 0/51, Loss: 5.2187, Training Accuracy: 0.0625
Epoch 23, Batch 10/51, Loss: 5.7771, Training Accuracy: 0.0156
Epoch 23, Batch 20/51, Loss: 5.5623, Training Accuracy: 0.0234
Epoch 23, Batch 30/51, Loss: 5.4223, Training Accuracy: 0.0469
Epoch 23, Batch 40/51, Loss: 5.5646, Training Accuracy: 0.0156
Epoch 23, Batch 50/51, Loss: 5.7843, Training Accuracy: 0.0000
Epoch 23/1000, Train Loss: 5.5022, Train Accuracy: 0.0359, Validation Accuracy: 0.0000
Epoch 24, Batch 0/51, Loss: 5.2615, Training Accuracy: 0.0391
Epoch 24, Batch 10/51, Loss: 5.6452, Training Accuracy: 0.0391
Epoch 24, Batch 20/51, Loss: 5.4712, Training Accuracy: 0.0391
Epoch 24, Batch 30/51, Loss: 5.4693, Training Accuracy: 0.0547
Epoch 24, Batch 40/51, Loss: 5.3013, Training Accuracy: 0.0312
Epoch 24, Batch 50/51, Loss: 5.7830, Training Accuracy: 0.0000
Epoch 24/1000, Train Loss: 5.4308, Train Accuracy: 0.0375, Validation Accuracy: 0.0000
Epoch 25, Batch 0/51, Loss: 5.3854, Training Accuracy: 0.0547
Epoch 25, Batch 10/51, Loss: 5.3522, Training Accuracy: 0.0234
Epoch 25, Batch 20/51, Loss: 5.5105, Training Accuracy: 0.0078
